127.0.0.1 - - [18/Feb/2026 20:48:24] "GET /icons/icon-192x192.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:24] "GET /icons/icon-384x384.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:24] "GET /icons/icon-512x512.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:25] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/validators.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/notifications.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/storage.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/modal.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/navigation.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/crud.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/templates.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/global-search.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/pdf-export.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/reminders.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/dashboard-kpi.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/audit-log.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/dark-mode.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/csv-export.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /offline.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-96x96.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-72x72.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-144x144.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-128x128.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-152x152.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-192x192.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-384x384.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET /icons/icon-512x512.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:39] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2026 20:48:41] "GET /sw.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/validators.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/storage.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/notifications.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/modal.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/navigation.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/templates.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/crud.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/pdf-export.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/reminders.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/dashboard-kpi.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/global-search.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/audit-log.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/csv-export.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/dark-mode.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /offline.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /manifest.json HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /icons/icon-72x72.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /icons/icon-96x96.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /icons/icon-128x128.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /icons/icon-144x144.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Feb/2026 20:48:54] "GET /icons/icon-152x152.svg HTTP/1.1" 200 -
